ID,age,gender,mean1,mean2,SD,D,total_trials,exclude_incomplete,fast_rt,average_accuracy,exclude_fast,exclude_accuracy,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_o1,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,exclude_impossible,exclude_not_completed,mean_agreeableness,mean_openness,mean_extroversion,mean_neuroticism,mean_conscientiousness,exclude_participant
440109,46,female,797,666.55,326.2587243003209,-0.3998360512190347,120,include,0,0.975,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,2,4,2,3,3,4,6,4,3,5,2,4,6,5,6,3,3,5,5,5,5,include,include,NA,NA,2.625,3.875,4.777777777777778,include
355243,27,male,1017.6,895.4375,355.7216359499562,-0.3434216186309965,120,include,0,0.9916666666666667,include,include,4,4,4,4,4,5,5,4,4,4,5,5,6,4,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.222222222222222,4.555555555555555,NA,NA,NA,include
214625,20,female,708.475,642.7375,172.67040785235656,-0.3807108630693079,120,include,0,0.9583333333333334,include,include,2,4,4,4,5,6,4,5,5,4,4,4,6,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.333333333333333,4.222222222222222,NA,NA,NA,include
214148,20,male,736.45,766.2375,255.9658523651755,0.11637294476883331,120,include,0,0.8833333333333333,include,include,1,4,6,4,4,2,5,3,3,3,6,4,4,4,4,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.5555555555555554,4,NA,NA,NA,include
213400,29,female,926.475,807.4625,465.05895412552263,-0.2559084153616312,120,include,0,0.8833333333333333,include,include,5,4,6,3,5,6,5,6,5,2,4,4,5,2,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,5,3.111111111111111,NA,NA,NA,include
216503,33,female,1014.925,1406.3625,1845.613715346337,0.21209069738980843,120,include,0,0.8083333333333333,include,include,4,5,1,2,4,2,4,3,5,4,6,5,5,4,5,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.3333333333333335,4.777777777777778,NA,NA,NA,include
369479,28,female,697.425,644.3625,342.6588535496586,-0.15485518453796526,120,include,0,0.9666666666666667,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,5,5,5,4,6,2,2,4,5,3,2,1,5,5,4,5,2,3,6,4,6,3,include,include,NA,NA,4.875,3,4.222222222222222,include
220525,33,female,610.825,644.425,195.22219456839645,0.17211157816499234,120,include,0,0.9833333333333333,include,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,5,3,6,1,5,4,5,5,4,4,6,4,2,6,5,5,3,5,6,6,6,3,include,include,NA,NA,4,4.25,5,include
225948,23,male,905.15,734.775,329.8252334098129,-0.5165614475236541,120,include,0,0.9833333333333333,include,include,3,5,4,3,2,3,4,3,5,5,6,5,5,5,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.5555555555555554,5.333333333333333,NA,NA,NA,include
227399,16,male,718.5,749.775,308.77343819450175,0.10128785747529007,120,include,0,0.9416666666666667,include,include,2,3,2,3,4,1,3,1,2,3,6,5,3,2,4,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,2.3333333333333335,3.7777777777777777,NA,NA,NA,include
